name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S2_Female_sentence_09.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.005	0.01	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.01	0.015	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.015	0.02	--undefined--	-200	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.02	0.025	--undefined--	-200	--undefined--	1145.9194257520678	1967.054781535761	3095.0521854845815	4273.688708479825
S2_Female_sentence_09.wav	0.025	0.030000000000000002	--undefined--	-200	64.40596815202923	1198.0199412831005	2010.75186408201	3080.146722153252	4318.111593492674
S2_Female_sentence_09.wav	0.030000000000000002	0.035	--undefined--	-200	64.27215746325022	1165.1939752029007	2025.4032960876602	3055.09670226277	4383.993531973809
S2_Female_sentence_09.wav	0.035	0.04	--undefined--	-200	63.873975858988814	970.077390221909	1955.2060002814994	3043.44565031988	4431.722631523717
S2_Female_sentence_09.wav	0.04	0.045	--undefined--	-214.7662916179082	65.1149437211442	903.0923324617321	1892.0287674245483	3133.194750111109	4404.164925534897
S2_Female_sentence_09.wav	0.045	0.049999999999999996	--undefined--	-66.45549427246752	67.75020488133755	1558.192335552735	2561.0691446181404	3154.941280702866	4941.467927725311
S2_Female_sentence_09.wav	0.049999999999999996	0.05499999999999999	--undefined--	12.311361265932959	70.65949676345952	1120.92832772343	2327.809453671847	2992.127218698951	4271.023605722076
S2_Female_sentence_09.wav	0.05499999999999999	0.05999999999999999	--undefined--	4.927767898290488	72.3998478952899	441.817676953464	1782.781547063651	2832.1144469236515	3469.3393858393993
S2_Female_sentence_09.wav	0.05999999999999999	0.06499999999999999	--undefined--	-1.001886068066404	72.74152501797113	461.02668402209207	1675.9747018252474	2852.6841663586756	3609.5774726561613
S2_Female_sentence_09.wav	0.06499999999999999	0.06999999999999999	--undefined--	10.304812234117687	71.55919224590295	508.3126822384544	1742.42884971808	2975.755709748714	3657.9266882046977
S2_Female_sentence_09.wav	0.06999999999999999	0.075	--undefined--	-134.89977837184026	69.56264545915671	532.8771729111044	1901.1241080753693	3289.978724236515	4532.243348647455
S2_Female_sentence_09.wav	0.075	0.08	--undefined--	-208.25297311618536	67.11815574486508	521.8905501024569	1961.3606770619788	3301.1896119685853	4723.369274662896
S2_Female_sentence_09.wav	0.08	0.085	--undefined--	-200	66.19244465484583	445.864222519142	1972.4699688467365	3180.6795416154937	4584.99110713163
S2_Female_sentence_09.wav	0.085	0.09000000000000001	--undefined--	-200	65.88777969941036	299.4396943220644	1993.4348964401959	3143.909897045375	4611.988660673649
