vowel,N,mean_F1,sd_F1,mean_F2,sd_F2,mean_F3,sd_F3
@,162,410.8,72.5,1497.7,110.5,2522.7,207.1
E,114,417.0,54.6,1714.1,58.9,2577.2,114.0
E/,39,378.7,45.5,1780.2,119.0,2660.8,88.1
O,31,487.7,86.5,1126.8,99.9,2454.3,30.5
a,521,502.7,90.0,1501.9,139.8,2553.4,148.2
a~,43,419.8,95.9,1118.8,183.0,2594.4,275.3
e,7,227.3,42.2,1978.4,112.8,2663.7,33.2
i,153,326.5,58.8,2014.2,152.9,2911.0,233.1
o,20,391.9,40.5,1340.9,48.9,2571.7,111.8
u,93,359.5,49.0,1075.7,191.8,2382.6,248.9
y,205,338.4,53.4,1832.6,212.7,2525.7,263.8
