vowel,N,mean_F1,sd_F1,mean_F2,sd_F2,mean_F3,sd_F3
@,150,366.1,71.0,1546.7,138.6,2699.6,243.2
E,133,460.7,51.9,1838.1,71.4,2691.0,114.7
E/,38,399.1,86.8,1900.0,78.4,2708.0,72.9
O,41,534.1,75.3,1187.8,126.0,2721.3,230.0
a,524,579.4,100.2,1538.5,136.3,2689.7,133.8
a~,40,504.2,40.7,989.1,84.1,2825.0,337.4
e,21,370.0,59.0,2073.5,136.1,2660.7,256.0
i,208,293.8,23.3,2007.0,138.2,3160.4,124.2
o,20,394.4,38.3,1301.8,312.7,2998.8,198.4
u,117,332.4,63.5,1051.4,231.4,2859.8,318.0
y,195,330.4,80.2,1838.1,251.2,2672.3,297.3
