speaker,vowel,N,mean_F1,sd_F1,mean_F2,sd_F2,mean_F3,sd_F3
S1_Female,@,162,410.8,72.5,1497.7,110.5,2522.7,207.1
S1_Female,E,114,417.0,54.6,1714.1,58.9,2577.2,114.0
S1_Female,E/,39,378.7,45.5,1780.2,119.0,2660.8,88.1
S1_Female,O,31,487.7,86.5,1126.8,99.9,2454.3,30.5
S1_Female,a,521,502.7,90.0,1501.9,139.8,2553.4,148.2
S1_Female,a~,43,419.8,95.9,1118.8,183.0,2594.4,275.3
S1_Female,e,7,227.3,42.2,1978.4,112.8,2663.7,33.2
S1_Female,i,153,326.5,58.8,2014.2,152.9,2911.0,233.1
S1_Female,o,20,391.9,40.5,1340.9,48.9,2571.7,111.8
S1_Female,u,93,359.5,49.0,1075.7,191.8,2382.6,248.9
S1_Female,y,205,338.4,53.4,1832.6,212.7,2525.7,263.8
S1_Male,@,150,366.1,71.0,1546.7,138.6,2699.6,243.2
S1_Male,E,133,460.7,51.9,1838.1,71.4,2691.0,114.7
S1_Male,E/,38,399.1,86.8,1900.0,78.4,2708.0,72.9
S1_Male,O,41,534.1,75.3,1187.8,126.0,2721.3,230.0
S1_Male,a,524,579.4,100.2,1538.5,136.3,2689.7,133.8
S1_Male,a~,40,504.2,40.7,989.1,84.1,2825.0,337.4
S1_Male,e,21,370.0,59.0,2073.5,136.1,2660.7,256.0
S1_Male,i,208,293.8,23.3,2007.0,138.2,3160.4,124.2
S1_Male,o,20,394.4,38.3,1301.8,312.7,2998.8,198.4
S1_Male,u,117,332.4,63.5,1051.4,231.4,2859.8,318.0
S1_Male,y,195,330.4,80.2,1838.1,251.2,2672.3,297.3
S2_Female,@,141,378.4,99.1,1588.6,230.1,2507.6,275.2
S2_Female,E,122,464.8,112.7,1826.8,205.5,2592.6,296.1
S2_Female,E/,12,228.7,9.8,1630.0,51.9,2736.4,247.7
S2_Female,O,35,515.5,91.7,1153.4,59.9,2241.0,43.6
S2_Female,a,299,539.8,129.5,1504.1,241.8,2492.4,221.1
S2_Female,a~,19,352.6,93.7,1133.4,103.9,2400.4,187.2
S2_Female,e,5,506.8,37.5,2172.2,25.4,2843.0,143.3
S2_Female,i,125,286.9,61.1,2067.4,248.8,3006.1,371.1
S2_Female,o,11,237.9,7.2,1407.2,72.1,2543.7,80.3
S2_Female,u,89,302.7,65.2,1153.3,200.6,2299.6,213.1
S2_Female,y,262,302.8,64.3,1885.4,228.6,2575.0,276.5
S2_Male,@,161,360.0,76.2,1585.2,214.3,2554.4,218.6
S2_Male,E,77,416.9,44.9,1717.9,147.0,2720.8,359.3
S2_Male,E/,35,304.8,62.8,1883.6,143.3,2676.6,201.5
S2_Male,O,51,464.8,60.3,1208.7,261.6,2548.5,358.2
S2_Male,a,334,493.8,116.9,1419.1,224.0,2729.4,308.6
S2_Male,a~,35,308.0,59.0,1025.6,76.9,2535.8,128.4
S2_Male,e,6,258.3,10.2,1785.7,60.6,2426.7,218.3
S2_Male,i,142,254.3,39.2,2099.1,242.3,3175.4,404.2
S2_Male,o,18,331.1,17.9,1143.2,379.8,2521.5,139.1
S2_Male,u,98,337.0,95.3,1028.0,243.5,2677.5,282.8
S2_Male,y,252,271.9,102.9,1840.1,224.7,2710.3,388.8
